1,0.23,0.03,1,2,3
2,0.15,0.03,1,2,3
1,0.23,0.03,2,5,3
1,0.05,0.02,2,4,3
2,0.07,0.11,2,6,3
2,0.23,0.03,1,2,3
2,0.09,0.05,2,2,3
2,0.1,0.03,2,3,3
1,0.22,0.03,1,6,3
2,0.15,0.03,1,2,3
2,0.1,0.22,2,1,3
2,0.13,0.01,2,3,3
2,0.18,0.21,2,3,3
2,0.06,0.17,2,4,3
2,0.06,0.17,2,5,2
2,0.06,0.17,2,5,2
2,0.07,0.11,2,1,2
2,0.22,0.03,2,5,2
2,0.13,0.03,1,1,2
2,0.07,0.25,2,5,2
2,0.25,0.07,2,3,2
2,0.25,0.07,2,3,2
2,0.02,0.09,2,4,2
2,0.01,0.15,1,3,2
2,0.15,0.13,2,4,2
2,0.07,0.11,2,2,2
2,0.08,0.03,2,3,2
2,0.14,0.15,2,4,2
2,0.21,0.02,2,5,1
2,0.22,0.03,2,3,1
2,0.11,0.01,2,6,1
2,0.18,0.05,2,2,1
2,0.13,0.01,2,4,1
1,0.13,0.03,1,2,1
2,0.05,0.02,2,4,1
2,0.16,0.08,2,4,1
2,0.04,0.16,2,3,1
2,0.05,0.02,2,5,1
2,0.14,0.15,2,4,1
1,0.23,0.03,1,2,3
2,0.15,0.03,1,2,3
1,0.23,0.03,2,5,3
1,0.05,0.02,2,4,3
2,0.07,0.11,2,6,3
2,0.23,0.03,1,2,3
2,0.09,0.05,2,2,3
2,0.1,0.03,2,3,3
1,0.22,0.03,2,6,3
2,0.15,0.03,1,2,3
2,0.1,0.22,2,1,3
2,0.13,0.01,2,3,3
2,0.18,0.21,2,3,3
2,0.06,0.17,2,4,3
2,0.06,0.17,2,5,2
2,0.06,0.17,2,5,2
2,0.07,0.11,2,1,2
2,0.22,0.03,2,5,2
2,0.13,0.03,1,1,2
2,0.07,0.25,2,5,2
2,0.25,0.07,2,3,2
2,0.25,0.07,2,3,2
2,0.02,0.09,2,4,2
2,0.01,0.15,1,3,2
2,0.15,0.13,2,4,2
2,0.07,0.11,2,2,2
2,0.08,0.03,2,3,2
2,0.14,0.15,2,4,2
2,0.21,0.02,2,5,1
2,0.22,0.03,2,3,1
2,0.11,0.01,2,6,1
2,0.18,0.05,2,2,1
2,0.13,0.01,2,4,1
1,0.13,0.03,1,2,1
2,0.05,0.02,2,4,1
2,0.16,0.08,2,4,1
2,0.04,0.16,2,3,1
2,0.05,0.02,2,5,1
2,0.14,0.15,2,4,1
1,0.23,0.03,1,3,3
1,0.13,0.03,1,2,3
2,0.16,0.19,2,2,3
2,0.09,0.02,2,4,3
2,0.13,0.03,1,2,3
2,0.18,0.21,2,2,3
1,0.22,0.03,2,5,3
2,0.07,0.11,1,2,3
2,0.23,0.03,1,2,3
1,0.23,0.03,1,2,3
1,0.23,0.03,2,4,3
2,0.14,0.22,2,2,3
1,0.17,0.17,2,2,3
2,0.09,0.05,2,3,3
2,0.18,0.25,2,3,3
1,0.17,0.17,2,4,3
2,0.01,0.15,2,4,3
2,0.01,0.08,2,2,2
1,0.11,0.16,2,3,2
1,0.22,0.13,2,3,2
2,0.09,0.02,2,2,2
2,0.13,0.01,2,2,2
1,0.06,0.17,2,4,2
2,0.23,0.03,1,2,2
1,0.23,0.03,1,2,2
2,0.06,0.17,2,4,2
1,0.22,0.03,2,2,2
2,0.2,0.02,2,3,2
2,0.23,0.03,2,1,2
2,0.2,0.02,2,2,1
1,0.23,0.03,2,4,1
2,0.13,0.01,2,3,1
2,0.1,0.03,2,2,1
2,0.07,0.11,2,3,1
1,0.14,0.15,2,4,1
2,0.08,0.03,2,3,1
2,0.12,0.07,2,4,1
2,0.08,0.07,2,3,1
2,0.15,0.01,2,6,1
2,0.23,0.03,2,2,1
2,0.02,0.09,2,3,1
2,0.15,0.01,2,2,1
2,0.2,0.02,2,1,1
2,0.13,0.14,2,2,3
2,0.09,0.06,2,1,3
1,0.1,0.03,2,3,3
2,0.14,0.15,2,4,3
1,0.13,0.01,2,6,3
1,0.08,0.03,2,3,3
2,0.2,0.02,2,5,3
2,0.22,0.01,2,2,2
2,0.18,0.12,2,2,2
2,0.2,0.15,2,2,2
1,0.17,0.18,2,5,2
2,0.14,0.23,2,2,2
2,0.24,0.26,2,3,2
2,0.09,0.24,2,2,2
2,0.12,0.08,2,3,2
2,0.09,0.06,2,1,2
2,0.22,0.01,2,5,2
2,0.07,0.11,2,3,1
2,0.1,0.03,2,2,1
2,0.23,0.03,2,2,1
2,0.17,0.18,2,3,1
2,0.16,0.2,2,2,1
2,0.03,0.02,2,4,1
2,0.19,0.04,2,1,1
2,0.23,0.03,2,3,1
2,0.03,0.02,2,3,1
2,0.1,0.03,2,2,1
1,0.18,0.07,2,5,1
2,0.22,0.01,2,6,1
2,0.02,0.1,2,3,1
